shRNA,t1,t2
Brd4.3,-42.622467,-50.462402
Bop1.3,68.912735,-15.818565
Baz2a.3,64.69328,-11.549636
Brpf3.3,57.452946,-21.92147
Brd3.4,73.281876,-13.649703
Bmi1.3,57.261932,-19.441742
Baz2b.3,57.12996,-36.031025
Brd8.4,34.65139,-32.065067
Brd1.3,55.72574,-26.38539
Bptf.3,70.55065,-16.731586
Baz2b.4,66.35352,-17.939661
Brd9.4,67.676155,-15.893148
Brd4.4,-42.071716,-49.980206
Bptf.4,56.352886,-21.8989
Baz1b.4,56.806534,-24.205774
Brpf3.4,57.11144,-21.754242
Brpf1.4,65.14578,-18.007914
Bmi1.4,60.52825,-17.274796
Baz2a.4,58.01557,-20.311604
Brd2.4,-16.798101,-28.305384
Bop1.4,62.87798,-15.528256
Brd1.4,72.64342,-19.231016
Fbxo17.2,-17.67231,-32.9718
Padi2.1,2.1516511,9.6471
Paf1.1,-49.06924,-27.336937
Kdm4b.3,-0.7540277,-2.2779884
Gtf2h1.1,15.834767,11.284157
Rnf2.2,5.2705407,-39.055664
Phc3.1,22.808777,12.313053
Iws1.1,-43.96302,-16.314432
Fkbp2.3,1.7145159,-39.821175
Phf10.2,-10.0781355,-13.956769
Phc3.2,11.219787,16.65097
H2afz.2,-15.013503,-26.265076
Fbxo17.3,0.5210589,-39.575172
Phf10.3,33.39003,12.889946
Parp2.2,0.82038224,-40.976494
Paf1.2,-47.967495,-28.036457
