gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
DMAP1,HDAC1,pp,18,4.242640687119285
ING2,SIN3A,pp,14,3.7416573867739413
HDAC1,TET1,pp,91,9.539392014169456
EED,HDAC2,pp,87,9.327379053088816
SMARCC1,SMARCC2,pp,45,6.708203932499369
HDAC3,SMYD1,pp,31,5.5677643628300215
PHF8,WDR5,pp,6,2.449489742783178
BAZ1B,SMARCC1,pp,15,3.872983346207417
BRCA1,HLTF,pp,56,7.483314773547883
ACTL6A,SMARCC2,pp,33,5.744562646538029
MBD2,RBBP4,pp,22,4.69041575982343
BAZ1B,SMARCD2,pp,15,3.872983346207417
BRD4,ING3,pp,27,5.196152422706632
PADI3,SMARCD1,pp,3,1.7320508075688772
ATM,SMARCB1,pp,23,4.795831523312719
