plate_well,shRNA,GeoMean
14_F04,Rbbp5.4,3364.805264
20_C03,H2afz.2,2458.656094
20_B05,Kdm4b.3,2461.908293
15_D07,Sin3a.3,2162.35108
18_C09,Usp27x.1,2162.570123
7_E02,Ing2.2,2337.870948
6_D07,Hdac4.3,2338.003504
1_C05,Atr.2,2338.288924
17_G02,Suv420h2.4,2165.561471
12_B09,Phf1.1,3373.842351
19_B10,Wdr5.1,2834.013972
control3_D11,shCd4.3+pMig,2172.692657
6_C04,Fbxw9.2,2343.246582
9_G07,Kdm6b.4,3381.461525
15_F08,Setd8.3,2180.911614
control1_B02,Bptf.1,2348.392362
5_G07,Elp3.4,2349.730041
2_G07,Bmi1.4,2349.850696
control2_G06,Wdr82.1,3391.809097
1_B10,Aff1.1,2351.940004
2_E04,Baz1a.4,2352.320929
6_D10,Fbxw9.3,2353.542617
9_C11,L3mbtl2.1,3397.511705
20_G05,Satb1.2,2494.617042
6_E10,Hdac10.3,2354.964881
20_E03,Mecp2.1,2499.213841
20_E11,Iws1.3,2501.579847
5_D06,Ehmt2.2,2359.662245
13_G07,Prdm14.4,3408.477886
20_D11,Rnf2.3,2506.629693
20_C10,Padi2.2,2507.233067
2_G05,Brpf3.4,2364.285873
18_E04,Tdg.4,2219.322823
control3_D05,Ncor1.4,2220.443319
1_F03,Aurkb.3,2365.670805
6_B02,Fbxw9.1,2367.291003
10_B06,Mll3.1,3422.407896
4_E02,Crebbp.2,2370.802322
5_G04,Eed.4,2370.948463
7_C08,Hdac9.2,2371.425786
20_B10,Fkbp2.3,2529.640534
control3_D03,Ncor1.2,2237.374981
1_G05,Aurkb.4,2373.935701
15_B08,Sfmbt1.1,2240.7982
15_B04,Setdb2.1,2243.712593
19_B04,Brd7.2,2892.560644
14_F10,Prmt5.4,3436.411323
15_G10,Setd4.4,2245.350088
4_B09,Chd9.1,2378.032478
21_D02,Setd3.2,2246.783707
13_F11,Prkaa1.4,3438.529586
control1_C04,mll2.3,2378.490776
6_E04,Fbxw9.4,2380.735294
3_E05,Chaf1b.3,2382.217367
7_G02,Ino80.4,2383.136902
9_F04,Mbd1.4,3449.102931
17_G03,Supt16h.4,2262.030391
5_F10,Ehmt2.4,2385.973643
20_C08,Gtf2h1.2,2553.343562
15_G02,Setmar.4,2264.327549
15_B06,Scml4.1,2265.529165
18_E11,Trim28.3,2266.205726
6_G06,Hdac4.4,2387.868245
10_G03,Mta1.4,3457.278881
21_F10,Smarcc1.1,2271.453949
10_G06,Myst4.4,3464.480463
3_G03,Cbx5.4,2394.069255
15_E04,Rpa3.4,2282.578388
18_B11,Usp22.1,2291.278274
20_F11,Phf17.2,2586.155174
18_D03,Usp27x.2,2306.651998
14_F02,Prmt3.3,3488.907225
15_C03,Setd1a.1,2310.199688
7_E06,Ing5.3,2409.157684
7_D11,Jmjd4.2,2410.863948
18_F11,Usp22.4,2319.011129
5_G08,Ehmt1.4,2413.797312
2_D04,Brd2.3,2414.591693
15_B02,Rpa3.1,2327.207675
12_B11,Polr2b.1,3504.593569
12_G08,Pcgf6.4,3506.11892
10_G02,Myst1.4,3507.466306
20_E09,Phf17.1,2614.342044
19_E10,Cbx2.2,2960.35794
18_D11,Usp51.2,2334.587272
20_B11,Phf10.2,2616.82309
4_B08,Dnmt3a.1,2420.425351
14_D08,Rbbp7.2,3514.085889
8_D07,Kdm4d.3,3514.313601
21_G07,Smarcd2.2,2342.195116
20_D05,Hdac11.3,2626.350951
15_B10,Scml2.1,2346.690206
9_C09,Mecom.1,3523.082615
1_G11,Asxl2.4,2428.999007
control3_C04,mll2.3,2357.088326
12_B03,Phf20.1,3530.662343
7_B07,Jmjd4.1,2433.291036
5_F02,Ehmt1.3,2433.615407
15_C11,Setd5.1,2364.420222
2_C11,Bptf.1,2436.640272
control2_E10,shCd4.4+Runx3,3538.884823
1_G02,Atad2b.4,2437.614607
17_D02,Smyd5.2,2371.222202
control3_C05,mll2.4,2372.163034
10_B08,Myst2.1,3541.016006
2_E05,Brd8.3,2439.253971
15_F03,Sin3b.3,2379.895978
20_D04,Padi2.3,2660.086812
9_F06,Kdm6a.3,3551.81154
9_F10,Kdm6a.4,3552.666548
4_B06,Chd5.1,2446.598166
1_D08,Atad2b.2,2447.112207
20_F05,Hdac5.2,2669.043121
1_C03,Arid2.1,2449.242122
control3_E10,shCd4.4+Runx3,2408.548613
1_G09,Asxl3.4,2455.737507
20_F09,Kdm4b.1,2682.938597
13_C04,Prdm10.2,3572.10137
control1_F08,Sp140.3,2457.963823
19_E11,Zmynd11.3,3023.059167
17_F11,Taf1.4,2414.713454
8_D04,Kdm2b.3,3581.732318
12_B06,Pcgf6.1,3583.743537
15_D06,Setd1a.2,2427.499291
1_F11,Atr.4,2465.492438
2_D03,Brpf1.2,2467.355268
20_D08,Parp2.3,2704.748024
3_C07,Cbx8.2,2468.269695
2_F04,Brd3.4,2468.362958
17_E04,Smyd4.4,2435.56025
14_G03,Prmt8.4,3597.107187
6_F10,Gadd45b.4,2473.450556
15_D03,Sin3a.2,2445.890821
14_G06,Rnf217.4,3601.304424
6_G05,Hdac6.4,2475.830855
7_G03,Ing2.4,2477.336669
13_B11,Prkaa1.1,3608.390979
2_D02,Baz1b.2,2479.307842
14_G08,Prmt3.4,3611.756563
3_E08,Brwd3.3,2480.574815
9_F03,Men1.3,3611.99869
control3_G06,Wdr82.1,2464.282396
9_C03,Kdm6a.1,3615.754446
13_C08,Prdm12.2,3617.109582
10_E07,Morf4l1.2,3625.083058
7_C10,Ing4.2,2490.239953
15_C10,Setdb1.2,2484.587316
8_B05,Kdm2a.1,3631.642369
9_G05,Men1.4,3637.826361
13_G02,Prdm8.4,3638.17673
5_E07,Elp3.2,2497.279613
18_C11,Trim33.1,2496.434302
2_F07,Brd8.4,2498.861179
21_E04,Scmh1.3,2499.079471
17_G07,Sp140.4,2499.897252
12_G07,Phc1.4,3645.29915
17_G11,Suv39h1.4,2504.334118
3_G09,Cbx7.4,2501.539607
control3_G02,Smarce1.1,2504.58874
control3_D02,Ncor1.1,2504.84391
1_B03,Asxl3.1,2502.113825
1_C09,Atrx.1,2503.369656
18_C08,Tet2.2,2510.77169
15_F10,Setd1a.4,2513.158382
19_E08,Wdr5.3,3102.042866
6_G07,Gtf2b.4,2509.127937
15_C04,Rpa3.2,2522.659914
19_G05,Fbxo17.1,3107.478535
8_E05,Kdm4a.3,3664.115793
control1_G07,Wdr82.2,2512.388191
9_D09,L3mbtl1.2,3666.432511
18_C10,Ube2b.2,2531.170406
15_B05,Setd8.1,2531.757679
5_B06,Ehmt1.1,2515.593609
20_C11,Jmjd8.2,2794.188294
13_D04,Prdm5.3,3671.900834
17_B04,Suv420h1.1,2547.817343
3_F10,Cbx1.4,2522.805712
6_D08,Hdac10.2,2523.403061
control1_C05,mll2.4,2524.302421
18_C04,Tdg.2,2553.127697
10_F05,Morf4l1.3,3688.555446
18_D10,Tdg.3,2558.988817
18_F05,Trim24.3,2559.974135
15_B07,Sin3b.1,2564.17492
10_C11,Mta1.1,3695.828785
14_F08,Psip1.3,3696.607102
20_B06,Gtf2h1.1,2822.649792
9_F11,Mbd4.4,3697.551265
14_D11,Rnf40.2,3699.76599
control3_D10,shCd4.3+Runx3,2569.482085
12_G11,Phf2.4,3701.429294
4_C09,Dnmt3l.1,2533.988626
control1_G02,Smarce1.1,2534.061433
3_E07,Cbx3.2,2535.632232
9_C10,L3mbtl4.2,3706.793196
13_C06,Prdm8.1,3707.098401
9_C06,Mbd2.1,3708.202336
2_G10,Bop1.4,2540.820808
6_E05,Hdac2.3,2541.640459
10_G07,Morf4l1.4,3716.492251
13_C10,Prdm5.2,3716.648295
18_D09,Trim28.2,2590.483011
10_F10,Mll5.4,3719.604552
20_B08,Phc3.1,2849.414982
15_C06,Setmar.1,2596.52328
control3_D07,Cxxcl.2,2596.925113
21_C03,Smarca2.3,2598.908601
19_D08,Cbx2.1,3168.473842
6_F02,Gadd45a.3,2549.24707
17_E09,Taf1.3,2607.801116
3_F09,Cbx5.3,2553.077378
control3_B09,Whsc1.4,2613.919102
2_G03,Bptf.4,2555.09375
control1_B06,Whsc1.1,2555.474904
13_G04,Prdm11.4,3740.626822
2_F03,Brpf3.3,2557.866323
6_E09,Hdac3.3,2557.908012
19_B08,Cecr2.1,3185.833513
7_C05,Jhdm1d.2,2561.832321
18_G03,Trim33.4,2634.422057
15_C08,Scml4.2,2643.182191
3_D08,Chaf1a.2,2568.828576
13_B06,Prdm12.1,3765.522
2_D08,Brd4.2,2576.992952
8_C10,Kdm2b.2,3778.912977
2_E11,Bop1.3,2579.827715
21_C04,Scmh1.1,2669.780909
7_B02,Hdac7.1,2580.946795
16_E11,Sirt7.3,2671.432413
10_E08,Mll2.3,3782.85512
12_G03,Phf19.4,3783.430546
6_C07,Hdac1.2,2582.305631
2_D11,Brpf3.2,2583.270879
14_E11,Prmt7.3,3786.302523
18_E06,Ube2e1.3,2676.230131
7_E03,Ing3.2,2587.255095
10_E11,Msl3.3,3793.681844
10_C04,Mll1.2,3794.806643
13_C09,Prkaa2.1,3796.090957
10_D11,Nap1l1.2,3796.230235
10_C02,Myst2.2,3796.324078
3_F04,Cbx8.4,2591.58224
8_F10,Kat2b.4,3802.854066
11_D08,Padi6.2,3806.860322
18_F10,Tet3.4,2703.097866
18_G11,Trim66.4,2703.180919
19_E02,Zmynd8.2,3245.143692
control1_B07,Whsc1.2,2598.034918
3_C02,Chaf1b.2,2598.556672
14_E02,Prmt8.2,3812.089029
7_C06,Ino80.1,2601.821386
14_G02,Rbbp7.4,3819.358176
5_C10,Epc1.2,2603.253573
